Store Name,Borough,Latitude,Longitude,NTA
Glen Deli & Grocery,Brooklyn,40.655883,-73.909981,Brownsville
Associated supermarket,Brooklyn,40.656153,-73.908172,Brownsville
Hidayat Deli Grocery,Brooklyn,40.664805,-73.923119,Brownsville
T&L Deli & Grocery,Brooklyn,40.663944,-73.924439,Brownsville
Bravo Supermarket,Brooklyn,40.662455,-73.926964,Rugby-Remsen Village
Associated Supermarket,Brooklyn,40.66264,-73.92032,Brownsville
Boston MiniMarket,Brooklyn,40.658474,-73.920581,Rugby-Remsen Village
Clarkson Food,Brooklyn,40.660467,-73.92113,Rugby-Remsen Village
New Way Supermarket,Brooklyn,40.659951,-73.917592,Rugby-Remsen Village
Star Two Deli,Brooklyn,40.659738,-73.926577,Rugby-Remsen Village
Ameer Food Market,Brooklyn,40.655331,-73.916044,Rugby-Remsen Village
El Flaco Food,Brooklyn,40.654327,-73.917775,Rugby-Remsen Village
La Linda Deli Grocery,Brooklyn,40.658163,-73.915979,Rugby-Remsen Village
9323 Linden Deli Food,Brooklyn,40.654538,-73.917263,Rugby-Remsen Village
420 Royal Deli,Brooklyn,40.668668,-73.906604,Brownsville
Leonardo Deli Grocery,Brooklyn,40.668248,-73.906479,Brownsville
C-Town,Brooklyn,40.668607,-73.909221,Brownsville
Moreno Mini Market,Brooklyn,40.669077,-73.906038,Brownsville
Bridge Deli & Grocery,Brooklyn,40.670686,-73.904064,Brownsville
Eye Deli & Grocery,Brooklyn,40.672108,-73.911243,Brownsville
Family Express Deli & Grocery,Brooklyn,40.670289,-73.90803,Brownsville
Golden Deli,Brooklyn,40.672599,-73.910121,Ocean Hill
New Friends Gourmet Deli,Brooklyn,40.670222,-73.907074,Brownsville
Yoha Mini Market,Brooklyn,40.670019,-73.909865,Brownsville
Pitikin Ave Deli & Grocery,Brooklyn,40.670326,-73.906487,Brownsville
Ideal Food Basket,Brooklyn,40.668494,-73.91872,Brownsville
Caba Deli Grocery,Brooklyn,40.67024,-73.915567,Ocean Hill
El Cibao,Brooklyn,40.669062,-73.915457,Brownsville
Shop Fair Supermarket,Brooklyn,40.662618,-73.908433,Brownsville
Food Bazaar,Brooklyn,40.664415,-73.901629,Brownsville
Pioneer Supermarket,Brooklyn,40.668324,-73.90233,Brownsville
Airon Food Market,Brooklyn,40.657215,-73.903452,Brownsville
Giselle Mini Market,Brooklyn,40.674615,-73.905514,Ocean Hill
Powell Supermarket,Brooklyn,40.666434,-73.90314,Brownsville
Green Village Meat Farm,Brooklyn,40.662211,-73.919589,Brownsville
Anabelle Deli Grocery,New York,40.792729,-73.940913,East Harlem North
Cherry Gourmet Deli,New York,40.78874,-73.948825,East Harlem South
Cherry Valley Supermarket,New York,40.787585,-73.944655,East Harlem South
Dave’s Gourmet,New York,40.786124,-73.942594,East Harlem South
Family 1st Deli,New York,40.791007,-73.939069,East Harlem South
Gold Deli,New York,40.790581,-73.948343,East Harlem South
L&O Deli Grocery,New York,40.795008,-73.948495,East Harlem South
La Constenita Grocery,New York,40.794249,-73.939799,East Harlem North
Luna Food Market,New York,40.791658,-73.938591,East Harlem North
Lucky Corner Deli & Pro,New York,40.793056,-73.94067,East Harlem North
Mr. Moe’s Deli,New York,40.793985,-73.942905,East Harlem North
.NYC Fresh Market,New York,40.796457,-73.947439,East Harlem South
Puchito Grocery,New York,40.792642,-73.940956,East Harlem North
Raspberry Deli,New York,40.792853,-73.940822,East Harlem North
East Harlem Grocery,New York,40.795771,-73.946725,East Harlem South
Sun & Moon Deli,New York,40.796145,-73.943676,East Harlem South
Garden Gourmet,New York,40.788417,-73.94096,East Harlem South
2037 Meat & Grocery,New York,40.789717,-73.943111,East Harlem South
Oxford 2 Deli Grocery,New York,40.789379,-73.943332,East Harlem South
Fine Fare Supermarket,New York,40.790544,-73.94541100000001,East Harlem South
Asunan Inc.,New York,40.79131,-73.946949,East Harlem South
1705 Deli Grocery,New York,40.792765,-73.945886,East Harlem South
Lex & 103rd Inc.,New York,40.790216,-73.947744,East Harlem South
Ranch Market,New York,40.790501,-73.947538,East Harlem South
Uptown Supermarket,New York,40.793982,-73.949243,East Harlem South
El Tepeyac,New York,40.789922,-73.947961,East Harlem South
Super Fi Emporium,New York,40.790501,-73.947538,East Harlem South
Manhattan Haat Baazar,New York,40.791966,-73.945594,East Harlem South
Cappellan Deli Grocery,New York,40.798843,-73.943587,East Harlem North
Third Avenue Gourmet,New York,40.797447,-73.94037,East Harlem North
Cherry Valley Supermarket,New York,40.796167,-73.937941,East Harlem North
El Barrio Superette,New York,40.798118,-73.942006,East Harlem North
New King Deli Grocery Corp.,New York,40.799415,-73.945645,East Harlem North
Little Mexico Meat Grocery,New York,40.797752,-73.94015,East Harlem North
Paniagua Deli Grocery,New York,40.797233,-73.940432,East Harlem North
JJ Food Market,New York,40.787686,-73.94923,East Harlem South
